project_number,project_type,project_description,last_reviewed,project_location_clean,Coordinates_lat_lon
OG 25-038,Commercial,Sign - Canal House,2024-11-21T12:00:00Z,1023-1029 31st street nw,"(38.9032644, -77.060821)"
OG 25-037,Georgetown,Shaw Field lights,2024-11-21T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 25-036,Residence,Egress window well on west elevation,2024-11-21T12:00:00Z,3321 q street nw,"(38.9108942, -77.06688820187202)"
OG 25-034,Residence,Shutter and door replacements,2024-11-21T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 25-033,Residential,Landscape alterations and stair revision,2024-11-21T12:00:00Z,3114 r street nw,"(38.91330825, -77.0637584339222)"
OG 25-032,Residence,"Replace stair treads, risers, land and railing and install window railings",2024-11-21T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 25-030,Residential,Front stone stoop repair and replacement,2024-11-21T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-029,Residence,"Underpin, renovation, and new exterior stair",2024-11-21T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-025,Residential,"Demo and reconfigure entry stairs, walls, and planters at side yard; install new gate",2024-11-21T12:00:00Z,1312 30th street nw,"(38.90729545, -77.05940031827429)"
OG 25-024,Residential,Front stoop and areaway expansion and railing and door replacement,2024-11-21T12:00:00Z,1217 29th street nw,"(38.905746, -77.05791314966635)"
OG 25-023,Commercial,Rooftop addition and renovation,2024-11-21T12:00:00Z,1048 29th street nw,"(38.90381205, -77.0583905250254)"
OG 25-021,Commercial,Add new shutters,2024-11-21T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 25-020,Commercial,Construction of a six-story mixed-use building,2024-11-21T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 25-019,Residence,Installation of rooftop solar panels,2024-11-21T12:00:00Z,3335 reservoir road nw,"(38.9128563, -77.06719455254503)"
OG 25-017,Residence,Roof replacement,2024-11-21T12:00:00Z,3252 o street nw,"(38.907673, -77.0655771)"
OG 25-016,Commercial,Signage - Tilley's,2024-11-21T12:00:00Z,3216 o street nw,"(38.9075577, -77.06419369173078)"
OG 25-015,Residence,Rooftop solar panels,2024-11-21T12:00:00Z,3122 n street nw,"(38.9066622, -77.062148)"
OG 25-013,Residential,Replace two patio doors on rear elevation,2024-11-21T12:00:00Z,3048 n street nw,"(38.906674800000005, -77.0610026203689)"
OG 25-012,Residence,Rear aluminum-clad wood casement window and screen replacement,2024-11-21T12:00:00Z,3029 dent place nw,"(38.912062399999996, -77.06042877641723)"
OG 25-008,Residence,Rooftop solar panels,2024-11-21T12:00:00Z,2801 dumbarton street nw,"(38.9078127, -77.05722379065918)"
OG 25-005,Residence,Window replacement,2024-11-21T12:00:00Z,1613 35th street nw,"(38.91114195, -77.06891994957194)"
OG 25-003,Residence,Construction of accessory structure in rear yard,2024-11-21T12:00:00Z,1423 36th street nw,"(38.908389549999995, -77.07020177195926)"
OG 25-002,Commercial,Signage - Huckberry,2024-11-21T12:00:00Z,1239 wisconsin avenue nw,"(38.9060889, -77.0625797)"
OG 24-361,Commercial,"New storefront, signage, entrances, and painting; roof terrace alterations",2024-11-21T12:00:00Z,3233-3235 m street nw,"(38.905318699999995, -77.06392412710491)"
OG 24-354,Residence,Replace existing shutters and shutter dogs; new rooftop condensers,2024-11-21T12:00:00Z,2812 n street nw,"(38.9067268, -77.05769467075656)"
OG 24-348,Commercial,Repaint; replace window and enlarge opening; other facade alterations,2024-11-21T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 24-342,Commercial,Signage - Canal House,2024-11-21T12:00:00Z,1023-29 31st street nw,"(38.9032644, -77.060821)"
OG 24-340,Residence,Fence,2024-11-21T12:00:00Z,2709 o street nw,"(38.9086499, -77.05617907200704)"
OG 24-337,Commercial,"New gate, fenestration alterations, sign",2024-11-21T12:00:00Z,1220-1236 31st street nw,"(38.90552744259899, -77.06128895256799)"
OG 24-303,Commercial,Signage - CVS,2024-11-21T12:00:00Z,1403 wisconsin avenue nw,"(38.90864275, -77.06366099721659)"
OG 24-293,Residence,"Third story addition, renovation, landscape alterations",2024-11-21T12:00:00Z,3246 s street nw,"(38.91445915, -77.06574500536293)"
OG 24-288,Georgetown,Campus building signage and wayfinding,2024-11-21T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 24-255,Residence,New accessory structure with living space and garages,2024-11-21T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 24-240,Residence,Rear addition,2024-11-21T12:00:00Z,2728 o street nw,"(38.90842175, -77.05683147343856)"
OG 25-038,Commercial,Signage,2024-11-07T12:00:00Z,1023-1029 31st street nw,"(38.9032644, -77.060821)"
OG 25-037,Georgetown,Shaw Field lights,2024-11-07T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 25-036,Residence,Egress window well on west elevation,2024-11-07T12:00:00Z,3321 q street nw,"(38.9108942, -77.06688820187202)"
OG 25-035,Residence,Rear addition and renovation,2024-11-07T12:00:00Z,3315 p street nw,"(38.90895075, -77.06658030345653)"
OG 25-034,Residence,Shutter and door replacements,2024-11-07T12:00:00Z,3306 o street nw,"(38.907624049999995, -77.06655487369912)"
OG 25-033,Residential,Landscape alterations and stair revision,2024-11-07T12:00:00Z,3114 r street nw,"(38.91330825, -77.0637584339222)"
OG 25-032,Residence,"Replace stair treads, risers, land and railing and install window railings",2024-11-07T12:00:00Z,3017 o street nw,"(38.90876075, -77.05989343179314)"
OG 25-031,Residence,Rear addition and renovation,2024-11-07T12:00:00Z,2915-2917 dumbarton street nw,"(38.907811, -77.0587377)"
OG 25-030,Residential,Front stone stoop repair and replacement,2024-11-07T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-029,Residence,"Underpin, renovation, and new exterior stair",2024-11-07T12:00:00Z,2819 p street nw,"(38.9095261, -77.05799422332733)"
OG 25-027,Commercial,Signage - The Lobby,2024-11-07T12:00:00Z,1660 33rd street nw,"(38.91235315, -77.06630350859572)"
OG 25-026,Residence,Rear one-story addition,2024-11-07T12:00:00Z,1559 33rd street nw,"(38.9103396, -77.06592891405889)"
OG 25-025,Residential,"Demo and reconfigure entry stairs, walls, and planters at side yard; install new gate",2024-11-07T12:00:00Z,1312 30th street nw,"(38.90729545, -77.05940031827429)"
